BrandId,Name,Desc,Phone,OpenHour,OpenTime,CloseHour,CloseTime,Address,AddressDesc,WardId,DistrictId,CityId
1,KFC LOTTE GÒ VẤP,KFC LOTTE GÒ VẤP,028 3516 6605,10,0,22,0,"Lô 1F17, tầng 1 , Lotte mart Gò Vấp, số 18, Phan Văn Trị","Lô 1F17, tầng 1 , Lotte mart Gò Vấp, số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, TP.HCM",199,15,1
1,KFC EMART GÒ VẤP,KFC EMART GÒ VẤP,1900 6886,10,0,22,0,366 Phan Văn Trị,"366 Phan Văn Trị,Phường 5, Quận Gò Vấp",194,15,1
1,KFC LÊ VĂN VIỆT,KFC LÊ VĂN VIỆT,1900 6886,10,0,22,0,193 Lê Văn Việt,"193 Lê Văn Việt, Phường Hiệp Phú, Quận 9, TPHCM",106,9,1
2,Lotteria Parkson Lê Thánh Tôn,Lotteria Parkson Lê Thánh Tôn,038 277 584,7,0,23,0,35 Bis – 45 Lê Thánh Tôn,"35 Bis – 45 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TP.HCM",1,1,1
2,Lotteria Lý Chính Thắng,Lotteria Lý Chính Thắng,035 260 585,7,0,23,0,250B Lý Chính Thắng,"250B Lý Chính Thắng, Phường 9, Quận 3",30,3,1
2,Lotteria Trần Hưng Đạo,Lotteria Trần Hưng Đạo,038 385 362,7,0,23,0,95A Trần Hưng Đạo,"95A Trần Hưng Đạo, Phường Cầu Ông Lãnh, Quận 1, TP HCM",4,1,1
3,Domino's Pizaa - Nguyễn Tri Phương,Domino's Pizaa - Nguyễn Tri Phương,1900 6099,10,0,22,0,313 NGUYEN TRI PHUONG,"313 NGUYEN TRI PHUONG, Phường 5, Quận 10",123,10,1
3,Domino's Pizaa - Đinh Bộ Lĩnh,Domino's Pizaa - Đinh Bộ Lĩnh,1900 6099,10,0,22,0,138 Dinh Bo Linh,"138 Dinh Bo Linh Phường 26, Quận Bình Thạnh",188,14,1
4,Bánh Mì PewPew - Út Tịch,CN1,093 933 82 79,6,0,23,0,66 Út Tịch,"66 Út Tịch, Phường 4,  Quận Tân Bình, TP. HCM",225,17,1
4,Bánh Mì PewPew - Đường D5,CN2,093 933 82 79,6,0,23,0,84 đường D5,"84 đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh",187,14,1
48,Amigo,,028 3824 1248,11,0,22,0,55-57 Nguyễn Huệ,"55-57 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
47,Vietnam House,,028 3822 2226,11,30,23,0,93-95-97 Đồng Khởi,"93-95-97 Đồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
46,Long Triều,,028 6268 3999,11,0,23,0,"The Reverie Saigon (level 4), 22-36 Nguyen Hue Boulevard","The Reverie Saigon (level 4), 22-36 Nguyen Hue Boulevard, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
46,The Long,,028 3823 6688,10,0,0,0,22-36 Nguyễn Huệ,"22-36 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
44,Noodle Noodle,,028 3827 6868,7,30,22,0,20 Nguyễn Huệ,"20 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
10,Le Café,,028 3888 8866,7,0,22,0,192 Nam Kỳ Khởi Nghĩa,"192 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Thành phố Hồ Chí Minh ",27,3,1
42,Ngan Dinh,,028 3982 6688,10,0,22,30,54 - 56 Đồng Khởi,"54 - 56 Đồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
41,Kissho,,028 3823 2223,11,0,23,0,14 Nguyen Hue,"14 Nguyen Hue, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
40,Dunkin Donut Hùng Vương,,083 833 3540,8,0,22,30,158 Hùng Vương,"158 Hùng Vương, Phường 12, Quận 10, TP.HCM",130,10,1
40,Dunkin Donut Nguyễn Đức Cảnh,,08 54 124 785,8,0,22,30,59 Nguyễn Đức Cảnh,"59 Nguyễn Đức Cảnh. Phường Tân Phong, Quận 7, TP.HCM",85,7,1
39,Starbucks Tan Son Nhat Airport,,028 3620 9020,5,30,22,0,"Tầng trệt, Khu thương mại Nhà Giữ Xe Ga Quốc nội Cảng hàng không Quốc tế Tân Sơn Nhất, 45 Trường Sơn","Tầng trệt, Khu thương mại Nhà Giữ Xe Ga Quốc nội Cảng hàng không Quốc tế Tân Sơn Nhất, 45 Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",223,17,1
39,Starbucks Rex,,028 3824 4668,7,0,22,0,141 Nguyễn Huệ,"141 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks New World,,028 3823 7952,6,30,23,0,"New World Hotel, 76 Nguyễn Thị Nghĩa","New World Hotel, 76 Nguyễn Thị Nghĩa, Phường Bến Thành , Quận 1, Thành phố Hồ Chí Minh",2,1,1
39,Starbucks Nguyen Van Troi,,028 3842 2171,6,30,22,0,66 Nguyễn Văn Trỗi,"66 Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",213,16,1
39,Starbucks IBIS,,028 3848 6030,7,0,21,0,2 Hồng Hà,"2 Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",223,17,1
39,Starbucks Nguyen Hue,,028 3821 0105,7,0,22,30,99 Nguyễn Huệ,"99 Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks mPlaza Saigon,,028 3823 4990,7,0,22,0,"39 Lê Duẩn, Quận 1 Mặt, Hai Bà Trưng","39 Lê Duẩn, Quận 1 Mặt, Hai Bà Trưng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks Thao Dien,,028 3744 2040,6,30,21,30,21 Đường Thảo Điền,"21 Đường Thảo Điền, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh",20,2,1
39,Starbucks CMT8,,028 3929 1221,7,0,21,30,241Bis Cách Mạng Tháng Tám,"241Bis Cách Mạng Tháng Tám, Phường 4, Quận 3, Thành phố Hồ Chí Minh",25,3,1
39,Starbucks Reserve Bar Han Thuyen,,028 3823 9237,7,0,22,0,13 Hàn Thuyên,"13 Hàn Thuyên, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks Phan Xich Long,,028 3517 6461,7,0,22,0,216 Phan Xích Long,"216 Phan Xích Long, Phường 7, Phú Nhuận, Thành phố Hồ Chí Minh",212,16,1
39,Starbucks Leman,,028 3930 1092,7,0,21,30,117 Nguyễn Đình Chiểu,"117 Nguyễn Đình Chiểu, Phường 6, Quận 3, Thành phố Hồ Chí Minh",27,3,1
39,Starbucks Lakai,,028 3924 1251,7,0,22,30,"Lakai Apartments, 98-126 Nguyễn Tri Phương","Lakai Apartments, 98-126 Nguyễn Tri Phương, Phường 7, Quận 5, Thành phố Hồ Chí Minh",57,5,1
39,Starbucks Crescent Strip,,028 6680 6191,7,0,22,0,"CR1-02, Crescent Residence 1, 103 Ton Dat Tien","CR1-02, Crescent Residence 1, 103 Ton Dat Tien, Phường Tân Phú, Quận 7, Block A, Phu My Hung, Ho Chi Minh city, Thành phố Hồ Chí Minh",86,7,1
39,Starbucks Pearl Plaza,,028 3512 0585,7,0,21,30,561 Điện Biên Phủ,"561 Điện Biên Phủ, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh",187,14,1
39,Starbucks Dong Du,,028 3824 7977,7,0,22,0,38 Đông Du,"38 Đông Du, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks Lotte Pico,,028 3620 1392,8,0,21,30,"PICO PLAZA, 20 Cộng Hòa","PICO PLAZA, 20 Cộng Hòa, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",233,17,1
39,Starbucks Gateway,,028 3636 9894,7,0,21,0,"Gateway, 177 Xa lộ Hà Nội, Khu phố 1","Gateway, 177 Xa lộ Hà Nội, Khu phố 1, Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh",20,2,1
39,Starbucks Vincom Dong Khoi,,028 3939 0058,8,30,22,0,72 Lê Thánh Tôn,"72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",1,1,1
39,Starbucks Emart,,028 3588 0146,7,30,22,0,"Khu siêu thị Emart, 366 Đ. Phan Văn Trị","Khu siêu thị Emart, 366 Đ. Phan Văn Trị, Phường 5, Gò Vấp, Thành phố Hồ Chí Minh",194,15,1
38,The Coffee House - Lê Văn Sỹ,,028 7108 7088,7,0,22,30,281 Đ. Lê Văn Sỹ,"281 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh",222,17,1
38,The Coffee House - Đống Đa,,028 7303 9079,7,0,22,30,2 Đống Đa,"2 Đống Đa, Phường 2, Tân Bình, Thành phố Hồ Chí Minh ",223,17,1
38,The Coffee House - Thăng Long,,028 7303 9079,7,0,22,30,51 Thăng Long,"51 Thăng Long, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",225,17,1
38,The Coffee House - Nguyễn Kiệm,,028 7303 9079,7,0,22,30,371 Nguyễn Kiệm,"371 Nguyễn Kiệm, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",192,15,1
38,The Coffee House - Tran Huy Lieu,,028 7303 9079,7,0,22,30,185 Trần Huy Liệu,"185 Trần Huy Liệu, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",213,16,1
38,The Coffee House - Hồng Hà,,028 7303 9079,7,0,22,30,18 Hồng Hà,"18 Hồng Hà, Phường 2, Tân Bình, Thành phố Hồ Chí Minh",223,17,1
