Bánh canh,Miền Nam,Mì,"Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước dùng được nấu từ tôm, cá, giò heo... thêm gia vị tùy theo từng loại"
Bánh đa cua,Hải Phòng,Bánh đa nước,Bánh đa với nước dùng riêu cua
Bún bò Huế,Thừa Thiên-Huế,Bún nước,"Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng"
Bún bung,Hà Nội,Bún nước,Bún nấu với sườn và dọc mùng
Bún cá,Hà Nội,Bún khô,"Bún và chả cá nướng trộn nước mắm, rau sống"
Bún chả,Hà Nội,Bún,Bún ăn kèm chả viên và chả miếng với nước chấm
Bún chả cá,Đà Nẵng,Bún nước,Bún với chả cá chan nước dùng nóng
Bún chạo tôm,Huế,Bún khô,"Tôm xiên vào que mía nướng ăn kèm bún, rau sống"
Bún đậu mắm tôm,Miền Bắc,Bún khô,Bún ăn với đậu rán và mắm tôm
Bún mắm,"Trà Vinh, Sóc Trăng",Bún nước,Bún chan nước dùng làm từ mắm cá linh hay cá sặc
Bún mọc,Hà Nội,Bún nước,Bún với mọc chan nước dùng
Bún ốc,Miền Bắc,Bún nước,"Bún, ốc với nước dùng có vị chua"
Bún riêu cua,Khắp cả nước,Bún nước,"Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa."
Bún thịt nướng,Huế,Bún khô,Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế.
Bún thang,Hà Nội,Bún nước,"Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đều trên nền bún trắng. Bún phải là loại bún sợi nhỏ. Trên rắc tôm bông và rải vài lát lạp xường."
Cao lầu,Hội An,Mì khô,Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu
Hủ tiếu,Miền Nam,"Mì khô, mì nước","Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt băm cùng lòng lợn vào"
Mì Quảng,Quảng Nam,Bánh tráng,"Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi mì mỏng khoảng 2mm. Sợi mì làm bằng bột mỳ được trộn thêm một số phụ gia cho đạt độ dòn, dai. Dưới lớp mì là các loại rau sống, trên mì là thịt heo nạc, tôm, thịt gà cùng với nước dùng"
Mì xào,Khắp cả nước,Mì,"Mì xào chín giòn với trứng, rau, hải sản..."
Miến lươn,"Miền Bắc, Bắc Trung Bộ (Việt Nam) (Nghệ An)",Miến,Được nấu từ miến với thịt lươn có hai dạng: dạng miến lươn khô và miến lươn nước nấu nước dùng là nước xương
Miến trộn,Khắp cả nước,Miến,"Miến được xào hoặc chần qua, trộn với tôm hoặc cua, nêm gia vị chua ngọt và cay"
